Brand,CPU,GPU,RAM Type,RAM Size (GB),Storage (GB),Screen Type,Refresh Rate (Hz),Uniqueness,Upgradeable,Price (Rupiah)
ACER,I3-N300,-,DDR5,8GB,512GB,IPS,60,[],1,5054831
ASUS,RYZEN 3-7320,-,DDR5,16GB,256GB,LED,60,[],1,5099000
HP,RYZEN 3-7320,-,DDR4,16GB,512GB,LED,60,[],1,5139000
LENOVO,RYZEN 3-7320,-,DDR5,8GB,256GB,TN,60,[],0,5199000
ACER,N150,-,DDR4,8GB,512GB,IPS,60,[],1,5229000
LENOVO,RYZEN 3-7320,-,DDR5,16GB,256GB,TN,60,[],0,5239000
LENOVO,RYZEN 3-7320,-,DDR5,8GB,256GB,TN,60,[],0,5249000
LENOVO,RYZEN 3-7320,-,DDR5,8GB,256GB,TN,60,['fingerprint'],0,5349000
LENOVO,I3-1315,-,DDR4,16GB,256GB,TN,60,[],0,5349000
LENOVO,I5-1315,-,DDR4,8GB,256GB,TN,60,[],1,5349000
AXIOO,I5-1235,-,DDR4,16GB,256GB,IPS,60,[],1,5349000
LENOVO,I3-1215,-,DDR4,8GB,512GB,TN,60,[],0,5379000
HP,RYZEN 5-7520,-,DDR4,8GB,256GB,LED,60,[],1,5384000
ADVAN,I5-12450,-,DDR4,8GB,256GB,IPS,60,[],1,5385000
HP,I3-7020,-,DDR4,,,LED,60,[],1,5399000
ASUS,I3-N305,-,DDR4,8GB,256GB,LED,60,['fingerprint'],1,5399000
HP,I5-1335,-,DDR4,16GB,512GB,IPS,60,[],1,5399000
,,-,DDR4,16GB,512GB,IPS,60,[],1,5400000
AXIOO,I5-1235,-,DDR4,8GB,256GB,IPS,60,[],1,5448900
AXIOO,I5-1235,-,DDR4,16GB,512GB,IPS,60,[],1,5489000
LENOVO,I3-1215,-,DDR4,16GB,512GB,TN,60,[],0,5569000
ACER,I3-1215,-,DDR4,16GB,256GB,IPS,60,[],1,5569000
ACER,I3-1215,-,DDR5,8GB,512GB,IPS,60,[],1,5574000
LENOVO,I3-1215,-,DDR4,8GB,256GB,TN,60,['fingerprint'],0,5579000
MSI,I3-1215,-,DDR4,8GB,256GB,IPS,60,[],1,5589000
HP,I3-100,-,DDR4,8GB,512GB,LED,60,[],1,5599000
LENOVO,I3-1215,-,DDR4,8GB,256GB,TN,60,[],0,5599000
HP,I3-1215,-,DDR4,8GB,512GB,LED,60,[],1,5599000
ASUS,RYZEN 3-7320,-,DDR5,8GB,256GB,LED,60,[],1,5599000
AXIOO,RYZEN 5-7430,-,DDR4,8GB,256GB,LCD,60,[],1,5649000
LENOVO,I5-6500,-,DDR4,16GB,256GB,TN,60,['yoga'],0,5680000
ASUS,RYZEN 3-7320,-,DDR5,8GB,256GB,LED,60,['fingerprint'],1,5689000
ASUS,RYZEN 3-7320,-,DDR5,8GB,256GB,LED,60,['fingerprint'],1,5689000
ASUS,RYZEN 3-7320,-,DDR5,8GB,256GB,LED,60,['fingerprint'],1,5689000
ACER,I3-1215,-,DDR4,8GB,256GB,IPS,60,[],1,5719000
LENOVO,I3-1215,-,DDR4,8GB,512GB,TN,60,[],0,5739000
HP,I3-1215,-,DDR4,8GB,512GB,LED,60,[],1,5746000
LENOVO,I3-1215,-,DDR4,16GB,256GB,TN,60,[],1,5749000
ASUS,CELERON N4500,-,DDR4,,320GB,IPS,60,[],1,5789000
LENOVO,RYZEN 3-7320,-,DDR5,8GB,256GB,TN,60,['fingerprint'],0,5798900
HP,I3-1215,-,DDR4,8GB,512GB,LED,60,[],1,5799000
ASUS,I3-N305,-,DDR4,8GB,256GB,LED,60,[],1,5805000
ASUS,RYZEN 3-7320,-,DDR5,8GB,256GB,LCD,60,['fingerprint'],1,5839000
ASUS,RYZEN 5-7520,-,DDR5,16GB,512GB,LED,60,[],1,5879000
ACER,I3-N355,-,DDR5,8GB,256GB,IPS,60,[],1,5889000
ASUS,RYZEN 3-7320,-,DDR5,8GB,512GB,LED,60,['fingerprint'],1,5895000
ASUS,I3-1215,-,DDR4,16GB,256GB,LED,60,[],1,5899000
ADVAN,N100,-,DDR5,12GB,512GB,IPS,60,[],1,5899000
ASUS,I3-1215,-,DDR4,8GB,256GB,LED,60,[],1,5899000
ASUS,I3-1215,-,DDR4,8GB,512GB,IPS,60,[],1,5899000
ASUS,RYZEN 3-7320,-,DDR5,8GB,512GB,LED,60,[],1,5907000
ASUS,RYZEN 3-7320,-,DDR5,8GB,256GB,LCD,60,['fingerprint'],1,5959000
TECNO,I5-13420,-,DDR4,16GB,512GB,LED,60,['fingerprint'],1,5994000
ASUS,I3-10110,-,DDR4,,256GB,LED,60,[],1,5999000
HP,I3-1315,-,DDR4,8GB,256GB,IPS,60,[],1,5999000
,I7-10610,-,DDR4,16GB,128GB,LED,60,[],1,6000000
HP,RYZEN 3-3250,-,DDR4,8GB,256GB,IPS,60,[],1,6029000
LENOVO,RYZEN 3-7320,-,DDR4,8GB,512GB,TN,60,[],0,6049000
LENOVO,RYZEN 3-7320,-,DDR5,8GB,512GB,TN,60,['fingerprint'],0,6059000
LENOVO,RYZEN 3-7320,-,DDR5,8GB,512GB,TN,60,['fingerprint'],0,6069000
ASUS,I3-1215,-,DDR4,8GB,512GB,LED,60,[],1,6076200
LENOVO,RYZEN 5-7530,-,DDR4,16GB,512GB,LED,60,[],0,6089000
ASUS,I3-N305,-,DDR4,8GB,512GB,LED,60,[],1,6149000
ASUS,I3-1115,-,DDR4,,256GB,LED,60,[],1,6149000
ACER,ATHLON SILVE,-,DDR4,20GB,512GB,LED,60,[],1,6159900
ACER,I3-1115,-,DDR4,,256GB,IPS,60,[],1,6197100
ASUS,I3-1005,-,DDR4,8GB,512GB,LED,60,['fingerprint'],1,6199000
INFINIX,RYZEN 5-7430,-,DDR4,8GB,512GB,IPS,60,[],1,6199000
INFINIX,,-,DDR4,8GB,512GB,LED,60,[],1,6199000
LENOVO,I3-10110,-,DDR4,12GB,512GB,TN,60,[],0,6261000
ACER,RYZEN 5-7520,-,DDR5,8GB,256GB,LED,60,[],1,6299000
ADVAN,I5-1035,-,DDR4,8GB,256GB,IPS,60,[],1,6299000
LENOVO,I3-1215,-,DDR4,8GB,512GB,TN,60,[],0,6299000
ASUS,I3-1115,-,DDR4,8GB,256GB,LED,60,"['fingerprint', 'flex']",1,6375000
AXIOO,RYZEN 7-57825,-,DDR4,8GB,512GB,LCD,60,[],1,6399000
HP,I3-100,-,DDR4,32GB,512GB,IPS,60,[],1,6399000
INFINIX,I3-1005,-,DDR4,8GB,256GB,LED,60,[],1,6400000
ADVAN,I3-1215,-,DDR4,8GB,512GB,IPS,60,[],1,6498000
LENOVO,I3-1005,-,DDR4,8GB,,TN,60,['fingerprint'],1,6499000
ASUS,I3-1115,-,DDR4,8GB,256GB,IPS,60,[],1,6499000
HP,I3-1215,-,DDR4,8GB,512GB,LED,60,[],1,6499000
HP,,-,DDR4,8GB,1024GB,LED,60,[],1,6500000
ACER,I3-7020,-,DDR4,,1024GB,LED,60,[],1,6500000
ASUS,I3-1315,-,DDR4,8GB,256GB,VA,60,['fingerprint'],1,6519000
AXIOO,I5-1235,-,DDR4,16GB,512GB,IPS,60,[],1,6549000
LENOVO,I3-1315,-,DDR5,8GB,512GB,TN,60,[],0,6558900
LENOVO,I3-1315,-,DDR5,8GB,512GB,TN,60,[],0,6559000
INFINIX,I5-1155,-,DDR4,8GB,512GB,IPS,60,[],1,6589000
HP,I3-1115,-,DDR4,8GB,256GB,IPS,60,[],1,6599000
LENOVO,I3-1215,-,DDR4,8GB,256GB,TN,60,['fingerprint'],0,6599000
LENOVO,RYZEN 5-7520,-,DDR5,8GB,512GB,TN,60,[],0,6599000
LENOVO,I5-1035,-,DDR4,8GB,512GB,LED,60,[],1,6605745
HP,I5-1135,-,DDR4,8GB,512GB,LED,60,[],1,6699000
ADVAN,RYZEN 5-6600,-,DDR5,16GB,512GB,IPS,60,['fingerprint'],1,6729000
LENOVO,RYZEN 5-7430,-,DDR4,8GB,512GB,IPS,60,[],0,6749000
LENOVO,ATHLON GOLD,-,DDR4,,256GB,TN,60,[],1,6750000
INFINIX,I5-1334,-,DDR4,16GB,512GB,IPS,60,[],1,6777000
HP,I3-1215,-,DDR4,8GB,512GB,LED,60,[],1,6799000
ACER,I3-1115,-,DDR4,8GB,512GB,LED,60,[],1,6799000
ADVAN,I3-1215,-,DDR5,12GB,512GB,IPS,60,[],1,6799000
AXIOO,CELERON 4020,-,DDR4,8GB,512GB,LED,60,[],1,6859000
ASUS,I3-1315,-,DDR4,8GB,256GB,VA,60,[],1,6879000
ACER,RYZEN 7-5700,-,DDR4,8GB,512GB,LED,60,[],1,6889000
ASUS,ATHLON 3050,-,DDR4,8GB,256GB,LED,60,[],1,6899000
LENOVO,I3-1005,-,DDR4,,256GB,LED,60,[],1,6899000
ASUS,I3-10110,-,DDR4,8GB,256GB,LED,60,['fingerprint'],1,6899000
ACER,RYZEN 7-5700,-,DDR4,16GB,512GB,LCD,60,[],1,6927000
ADVAN,RYZEN 5-6600,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],1,6945000
HP,RYZEN 5-5625,-,DDR4,8GB,512GB,IPS,60,[],1,6999000
ASUS,RYZEN 5-7520,-,DDR5,16GB,512GB,LED,60,[],1,6999000
TECNO,RYZEN 5-7430,-,DDR4,16GB,512GB,IPS,60,[],1,6999000
ASUS,I5-7200,-,DDR4,8GB,1024GB,LED,60,[],1,7000000
HP,I5-1235,-,DDR4,32GB,512GB,LED,60,['fingerprint'],1,7000000
HP,,-,DDR4,,1024GB,LED,60,[],1,7000000
HP,I5-1235,-,DDR4,8GB,512GB,IPS,60,[],1,7005000
,CELERON PROCE,-,DDR4,16GB,512GB,IPS,60,[],1,7080000
DELL,I3-1115,-,DDR4,16GB,256GB,LED,60,[],1,7099000
HP,I5-1235,-,DDR4,8GB,256GB,IPS,60,[],1,7099000
HP,I5-1235,-,DDR4,8GB,256GB,LED,60,[],1,7119000
ASUS,RYZEN 3-7320,-,DDR5,8GB,256GB,OLED,60,[],1,7129000
ASUS,RYZEN 3-7320,-,DDR5,8GB,256GB,OLED,60,[],1,7129000
LENOVO,RYZEN 5-5625,-,DDR4,16GB,512GB,TN,60,[],0,7129000
AXIOO,I3-1215,-,DDR5,24GB,256GB,OLED,60,[],1,7149000
HP,I5-1235,-,DDR4,16GB,512GB,IPS,60,[],1,7170000
ASUS,RYZEN 5-7520,-,DDR5,16GB,512GB,LED,60,['fingerprint'],1,7189000
ASUS,RYZEN 5-7520,-,DDR5,16GB,256GB,IPS,60,[],1,7189000
ASUS,RYZEN 5-7520,-,DDR5,16GB,512GB,IPS,60,[],1,7189000
ASUS,RYZEN 5-7520,-,DDR5,8GB,512GB,IPS,60,['fingerprint'],1,7189000
ASUS,RYZEN 5-7520,-,DDR5,16GB,512GB,LED,60,['fingerprint'],1,7189000
ASUS,CELERON N4020,-,DDR4,8GB,256GB,LED,60,[],1,7199000
ASUS,I5-6200,-,DDR4,8GB,256GB,LED,60,[],1,7250000
HP,RYZEN 5-5500,-,DDR4,8GB,512GB,IPS,60,[],1,7250000
HP,I5-1235,-,DDR4,8GB,256GB,LED,60,[],1,7299000
HP,ATHLON GOLD,-,DDR4,8GB,512GB,LED,60,[],1,7300000
HP,I5-120,-,DDR4,32GB,256GB,LED,60,['fingerprint'],1,7300000
ADVAN,I5-12600,-,DDR5,24GB,512GB,IPS,60,['fingerprint'],1,7319900
HP,RYZEN 5-5625,-,DDR4,8GB,512GB,LED,60,[],1,7349000
AXIOO,I3-1215,-,DDR4,12GB,256GB,OLED,60,[],1,7349000
ASUS,RYZEN 5-7535,-,DDR5,8GB,512GB,LED,60,[],1,7389000
ASUS,RYZEN 5-7535,-,DDR5,8GB,512GB,LED,60,[],1,7399000
ACER,I5-1135,GEFORCE MX450,DDR4,8GB,512GB,IPS,60,[],1,7404700
ACER,I5-1235,-,DDR4,8GB,512GB,IPS,60,[],1,7449000
LENOVO,RYZEN 3-3250,-,DDR4,8GB,256GB,LED,60,[],1,7450000
MSI,I5-1235,-,DDR4,8GB,512GB,IPS,60,[],1,7499000
ACER,I5-1235,-,DDR4,8GB,256GB,LED,60,[],1,7500000
AXIOO,,-,DDR4,,256GB,LED,60,[],1,7500000
DELL,I5-1145,-,DDR4,16GB,512GB,IPS,60,[],1,7574000
HP,I5-1235,-,DDR4,32GB,512GB,IPS,60,[],1,7575000
HP,I5-1235,-,DDR4,16GB,512GB,IPS,60,[],1,7599000
HP,I3-1215,-,DDR4,8GB,512GB,IPS,60,[],1,7600000
HP,I5-1235,-,DDR4,8GB,512GB,IPS,60,['fingerprint'],1,7649000
HP,I5-1235,-,DDR4,8GB,512GB,IPS,60,[],1,7699000
ADVAN,RYZEN 7-6800,-,DDR5,16GB,512GB,IPS,60,[],1,7720000
ASUS,RYZEN 5-7520,-,DDR5,16GB,256GB,IPS,60,[],1,7729000
ACER,RYZEN 5-7520,-,DDR5,8GB,512GB,TN,60,[],1,7743120
AXIOO,I3-1215,-,DDR5,24GB,256GB,OLED,60,[],1,7749000
,I5-7200,-,DDR4,8GB,256GB,LED,60,['fingerprint'],1,7750000
,I5-8365,-,DDR4,,,LED,60,[],1,7775000
LENOVO,I5-12450,-,DDR5,16GB,512GB,IPS,60,[],0,7799000
LENOVO,RYZEN 5-7530,-,DDR4,8GB,512GB,IPS,60,[],0,7827000
LENOVO,RYZEN 5-7530,-,DDR5,8GB,512GB,IPS,60,[],0,7849000
AXIOO,I5-1235,-,DDR5,24GB,512GB,OLED,60,[],1,7899000
LENOVO,I5-1235,-,DDR4,8GB,512GB,LED,60,[],1,7900800
ASUS,RYZEN 5-7520,-,DDR5,16GB,512GB,LED,60,[],1,7950000
ASUS,I3-1005,-,DDR4,8GB,1024GB,LED,60,[],1,7999000
HP,I5-1335,-,DDR4,32GB,256GB,IPS,60,['fingerprint'],1,7999000
ASUS,I3-1005,-,DDR4,,1024GB,LED,60,[],1,7999000
ACER,,-,DDR4,,,LED,60,[],1,8000000
LENOVO,I5-13420,-,DDR5,16GB,512GB,LED,60,[],1,8000000
ASUS,I5-1235,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],1,8029000
ASUS,RYZEN 5-7430,-,DDR4,8GB,512GB,LED,60,['fingerprint'],1,8029000
ASUS,RYZEN 7-7730,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],1,8039000
LENOVO,,-,DDR4,16GB,1024GB,LED,60,[],1,8040000
ASUS,I5-13420,-,DDR5,8GB,512GB,LED,60,[],1,8049000
ASUS,RYZEN 5-5500,-,DDR4,8GB,512GB,IPS,60,[],1,8099000
HP,RYZEN 5-7530,-,DDR4,8GB,256GB,IPS,60,[],1,8099000
LENOVO,I5-1335,-,DDR5,16GB,512GB,IPS,60,[],0,8099000
HP,I5-1235,-,DDR4,8GB,512GB,IPS,60,[],1,8129000
ASUS,I5-1335,-,DDR4,8GB,512GB,VA,60,[],1,8149000
ASUS,I5-1335,-,DDR4,8GB,512GB,VA,60,['fingerprint'],1,8149000
LENOVO,I5-120,-,DDR5,16GB,512GB,IPS,60,[],0,8199000
ASUS,I3-1215,-,DDR4,16GB,256GB,LED,60,['fingerprint'],1,8199000
ACER,I5-1235,-,DDR5,8GB,512GB,IPS,60,[],1,8199000
ACER,I3-N305,-,DDR5,8GB,512GB,IPS,60,[],1,8249000
LENOVO,RYZEN 3-3250,-,DDR4,8GB,256GB,TN,60,['fingerprint'],1,8250000
LENOVO,RYZEN 7-7730,-,DDR4,16GB,512GB,LED,60,[],1,8289000
HP,RYZEN 3-3250,-,DDR4,8GB,256GB,LED,60,[],1,8299000
LENOVO,I5-1005,-,DDR4,,256GB,LED,60,[],1,8300000
ASUS,I5-1334,-,DDR4,8GB,512GB,VA,60,[],1,8339000
,I5-13420,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],1,8349000
ACER,I5-1334,-,DDR5,16GB,512GB,IPS,60,[],1,8349000
ACER,I5-1235,-,DDR5,16GB,512GB,IPS,60,[],1,8349000
ASUS,I5-1235,-,DDR4,8GB,512GB,LED,60,[],1,8389000
HP,I5-1235,-,DDR4,8GB,512GB,LED,60,[],1,8399000
ASUS,I5-1135,-,DDR4,16GB,512GB,LED,60,['fingerprint'],1,8449000
HP,I5-1335,-,DDR4,8GB,512GB,IPS,60,[],1,8449000
LENOVO,I5-13420,-,DDR4,8GB,512GB,IPS,60,[],1,8479000
LENOVO,I5-13420,-,DDR4,16GB,512GB,IPS,60,[],0,8479000
AXIOO,I3-1005,-,DDR4,8GB,256GB,IPS,60,[],1,8499000
ASUS,I5-1335,-,DDR4,8GB,512GB,VA,60,['fingerprint'],1,8509000
LENOVO,I7-1255,-,DDR4,16GB,512GB,IPS,60,[],1,8574000
LENOVO,RYZEN 5-7530,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],0,8599000
HP,RYZEN 7-7730,-,DDR4,16GB,512GB,IPS,60,[],1,8649000
AXIOO,I5-1235,-,DDR5,24GB,512GB,OLED,60,[],1,8649000
LENOVO,N200,-,DDR5,8GB,256GB,IPS,60,['yoga'],0,8649000
HP,RYZEN 7-7730,-,DDR4,16GB,512GB,IPS,60,[],1,8679000
LENOVO,N200,-,DDR5,8GB,256GB,IPS,60,[],0,8699000
LENOVO,I5-12450,-,DDR5,16GB,512GB,IPS,60,['fingerprint'],0,8699000
DELL,RYZEN 7-7730,-,DDR4,32GB,1024GB,LED,120,[],1,8699000
LENOVO,N200,-,DDR5,8GB,256GB,IPS,60,['fingerprint'],0,8775000
ASUS,I5-1135,-,DDR4,8GB,512GB,IPS,60,['fingerprint'],1,8799000
AXIOO,I5-1235,-,DDR4,8GB,,IPS,60,[],1,8849000
LENOVO,RYZEN 5-7530,-,DDR4,8GB,512GB,IPS,60,['fingerprint'],0,8899000
ACER,I7-1255,-,DDR4,8GB,512GB,IPS,60,[],1,8950000
LENOVO,I5-1145,-,DDR4,8GB,512GB,TN,60,[],1,8985000
ASUS,I5-1135,-,DDR4,8GB,,LED,60,[],1,8989000
LENOVO,I7-8550,NVIDIA MX110,DDR4,8GB,1024GB,LED,60,['yoga'],1,8998000
HP,I5-1235,-,DDR4,8GB,512GB,IPS,60,[],1,8999000
HP,I5-1335,-,DDR4,8GB,512GB,IPS,60,[],1,8999000
LENOVO,I7-1255,-,DDR4,16GB,512GB,IPS,60,[],1,8999000
ADVAN,RYZEN 7-7735,-,DDR4,16GB,512GB,IPS,60,[],1,8999999
ACER,I5-10210,-,DDR4,,1024GB,IPS,60,[],1,9000000
LENOVO,I5-1235,-,DDR4,8GB,512GB,LED,60,[],1,9029000
ACER,RYZEN 5-6600,RTX 3050,DDR5,8GB,512GB,IPS,165,[],1,9049000
HP,I5-120,-,DDR5,16GB,512GB,IPS,60,[],1,9074000
HP,RYZEN 5-3500,-,DDR4,8GB,1024GB,IPS,60,[],1,9100000
ASUS,RYZEN 7-5800,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],1,9199000
LENOVO,I5-1245,-,DDR5,8GB,512GB,IPS,60,"['fingerprint', 'yoga']",0,9199000
MSI,I7-1355,-,DDR4,16GB,512GB,IPS,60,[],1,9249000
ADVAN,RYZEN 7-8845,-,DDR5,16GB,512GB,IPS,60,[],1,9289000
ASUS,I5-1035,-,DDR4,8GB,256GB,LED,60,['fingerprint'],1,9299000
ASUS,I3-10110,-,DDR4,8GB,512GB,LED,60,[],1,9299000
HP,I3-1215,-,DDR4,8GB,256GB,IPS,60,[],1,9389000
AXIOO,I7-12650,RTX 2050,DDR4,16GB,,LCD,144,[],1,9389000
LENOVO,RYZEN 7-5700,-,DDR4,16GB,512GB,IPS,60,['flex'],0,9399000
ASUS,I7-1255,-,DDR4,16GB,512GB,LED,60,[],1,9399000
ASUS,RYZEN 7-7730,-,DDR4,16GB,512GB,IPS,60,[],1,9439000
ASUS,RYZEN 7-7730,-,DDR4,16GB,512GB,IPS,60,[],1,9439000
DELL,I7-8550,-,DDR4,8GB,,LED,60,[],1,9450000
TECNO,I9-13900,-,DDR4,16GB,512GB,LED,60,['fingerprint'],1,9479000
ASUS,RYZEN 5-5500,GEFORCE MX450,DDR4,8GB,256GB,IPS,60,[],1,9499000
LENOVO,I5-1135,GEFORCE MX350,DDR5,8GB,512GB,IPS,60,['fingerprint'],1,9499000
TECNO,I9-13900,-,DDR4,16GB,512GB,LED,60,['fingerprint'],1,9499000
HP,RYZEN 5-5500,-,DDR4,8GB,512GB,IPS,60,[],1,9499000
TECNO,I9-13900,-,DDR4,16GB,512GB,LED,60,['fingerprint'],1,9499000
HP,RYZEN 5-3500,-,DDR4,8GB,512GB,IPS,60,[],1,9499000
LENOVO,I7-13620,-,DDR5,16GB,512GB,IPS,60,[],0,9499000
ASUS,,-,DDR4,8GB,256GB,LED,60,[],1,9500000
ACER,RYZEN 5-3500,-,DDR4,8GB,512GB,IPS,60,[],1,9500000
LENOVO,,-,DDR4,8GB,256GB,LED,60,['flex'],1,9500000
INFINIX,I5-1334,-,DDR4,16GB,512GB,OLED,120,[],1,9549000
HP,I5-1334,GEFORCE MX570,DDR4,8GB,512GB,IPS,60,[],1,9569000
ASUS,I7-1255,-,DDR4,16GB,512GB,IPS,60,[],1,9574000
HP,I3-100,-,DDR4,8GB,512GB,IPS,60,['fingerprint'],1,9620000
HP,I5-1334,GEFORCE MX570,DDR4,8GB,512GB,IPS,60,[],1,9669000
ASUS,I7-1255,-,DDR4,8GB,512GB,IPS,60,[],1,9679000
ASUS,I7-1255,-,DDR4,16GB,512GB,IPS,60,[],1,9699000
LENOVO,I5-1135,-,DDR4,8GB,512GB,IPS,60,['fingerprint'],1,9699000
AXIOO,I7-12650,RTX 2050,DDR4,16GB,512GB,LCD,144,[],1,9699000
ASUS,I5-8250,GEFORCE MX130,DDR4,,,LED,60,['fingerprint'],1,9725000
HP,I7-1255,-,DDR4,16GB,512GB,IPS,60,[],1,9749000
HP,I7-1255,-,DDR4,16GB,512GB,IPS,60,[],1,9749000
HP,I7-1255,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],1,9749000
HP,I7-1255,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],1,9749000
LENOVO,I7-150,-,DDR4,16GB,256GB,IPS,60,[],1,9774000
LENOVO,I7-150,-,DDR5,16GB,1024GB,IPS,60,[],0,9799000
LENOVO,I5-12450,RTX 2050,DDR5,12GB,512GB,IPS,60,[],1,9839000
LENOVO,RYZEN 7-7730,-,DDR4,16GB,1024GB,IPS,60,['flex'],0,9874000
ASUS,I7-1255,-,DDR4,16GB,256GB,LED,60,[],1,9874000
ACER,,-,DDR4,8GB,,LED,60,[],1,9900000
LENOVO,I5-12450,RTX3050,DDR4,12GB,512GB,LED,60,[],1,9900000
HP,I5-13420,RTX3050,DDR4,16GB,512GB,IPS,144,[],1,9949000
DELL,I5-1334,-,DDR5,16GB,512GB,LED,60,['fingerprint'],1,9999000
ASUS,I7-1255,-,DDR4,16GB,512GB,LED,60,[],1,9999000
LENOVO,I3-100,-,DDR5,8GB,512GB,IPS,60,['fingerprint'],0,9999000
ASUS,I5-1235,-,DDR4,16GB,256GB,IPS,60,[],1,9999000
ASUS,I5-8265,-,DDR4,8GB,,LED,60,[],1,10000000
HP,,-,DDR4,,,LED,60,[],1,10000000
HP,,-,DDR4,16GB,1000GB,LED,60,[],1,10000000
ACER,I5-10210,-,DDR4,,1024GB,IPS,60,[],1,10000000
ASUS,,-,DDR5,16GB,,IPS,60,[],1,10019000
LENOVO,I7-1260,-,DDR5,16GB,1024GB,IPS,90,[],1,10050000
HP,I7-1255,-,DDR4,8GB,512GB,IPS,60,[],1,10050000
LENOVO,RYZEN 7-7730,-,DDR4,16GB,512GB,IPS,60,"['fingerprint', 'flex']",0,10099000
ACER,I5-125,-,DDR5,16GB,512GB,IPS,60,[],1,10099000
ASUS,RYZEN 7-5800,-,DDR4,16GB,512GB,OLED,60,[],1,10123000
HP,I5-1335,-,DDR4,8GB,512GB,LED,60,[],1,10150000
,I9-10885,-,DDR4,,,IPS,60,[],1,10150000
LENOVO,I3-100,-,DDR4,8GB,512GB,IPS,60,[],0,10190000
HP,I3-100,-,DDR4,8GB,512GB,IPS,60,[],1,10190000
HP,I5-120,-,DDR4,8GB,512GB,IPS,60,['fingerprint'],1,10199000
HP,I5-1335,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],1,10199000
LENOVO,I5-1335,-,DDR4,16GB,512GB,IPS,60,"['fingerprint', 'flex']",0,10199000
ASUS,RYZEN 7-7730,-,DDR4,8GB,512GB,LED,60,['fingerprint'],1,10201800
HP,I5-1334,GEFORCE MX570,DDR4,8GB,512GB,IPS,60,[],1,10290000
LENOVO,RYZEN 7-7730,-,DDR4,16GB,512GB,IPS,60,"['fingerprint', 'flex']",0,10299000
LENOVO,I7-1255,-,DDR4,8GB,512GB,IPS,60,[],1,10299000
HP,I5-120,-,DDR4,8GB,512GB,IPS,60,['fingerprint'],1,10349000
HP,I5-120,-,DDR4,8GB,512GB,IPS,60,['fingerprint'],1,10349000
LENOVO,I5-1335,-,DDR4,8GB,512GB,IPS,60,['flex'],0,10374000
HP,I5-120,-,DDR4,8GB,512GB,IPS,60,[],1,10379000
MSI,I7-12650,RTX 2050,DDR4,8GB,512GB,IPS,144,[],1,10391600
ASUS,I7-1355,-,DDR4,8GB,512GB,VA,60,['fingerprint'],1,10399000
ASUS,I5-1335,-,DDR4,8GB,512GB,LED,60,['fingerprint'],1,10399000
ASUS,I7-1355,-,DDR4,8GB,512GB,VA,60,['fingerprint'],1,10419000
ASUS,I7-1355,-,DDR4,8GB,512GB,VA,60,['fingerprint'],1,10469000
ASUS,I7-1355,-,DDR4,8GB,1024GB,VA,60,['fingerprint'],1,10469000
ASUS,I7-1335,-,DDR4,8GB,512GB,VA,60,['fingerprint'],1,10469000
HP,I7-150,-,DDR4,16GB,512GB,IPS,60,[],1,10499000
